iter	Logloss
0	0.6807862004
1	0.6662580596
2	0.6535594955
3	0.6448918474
4	0.6374067607
5	0.6283633677
6	0.622532325
7	0.6173420403
8	0.6128382742
9	0.6067416028
10	0.6031571655
11	0.5999787133
12	0.5955852632
13	0.592914184
14	0.5907797992
15	0.5881521238
16	0.5867346713
17	0.5840700733
18	0.5825719273
19	0.5809770024
20	0.5793966249
21	0.5782369624
22	0.5768298771
23	0.5757254225
24	0.5746718686
25	0.5732236277
26	0.5722116131
27	0.5715352425
28	0.5704410413
29	0.5697878785
30	0.569103146
31	0.5679909706
32	0.5675214111
33	0.5664296995
34	0.5656655525
35	0.5652544703
36	0.5648084412
37	0.564145344
38	0.5634208578
39	0.5629129896
40	0.5623817575
41	0.5619702959
42	0.5616617269
43	0.5611722402
44	0.5608775432
45	0.5605966279
46	0.5602833008
47	0.5598494042
48	0.5595271405
49	0.55915334
50	0.5588652513
51	0.558610119
52	0.5584345252
53	0.5580847359
54	0.5578402131
55	0.5576225168
56	0.5573455772
57	0.5570401445
58	0.5567313687
59	0.5565789444
60	0.556405121
61	0.556236944
62	0.5560396452
63	0.5558579493
64	0.5555299222
65	0.5553343832
66	0.5551065683
67	0.5549316272
68	0.5547693851
69	0.5545375684
70	0.5542229001
71	0.5540673301
72	0.5538313445
73	0.5536096344
74	0.5534204876
75	0.5532278003
76	0.5530079421
77	0.5528651805
78	0.5527305539
79	0.5525390202
80	0.5523611665
81	0.5522128195
82	0.5517483205
83	0.5515972569
84	0.5514088424
85	0.5512886299
86	0.5510568482
87	0.55092996
88	0.5507799577
89	0.5506399899
90	0.5505105365
91	0.550315935
92	0.5502251075
93	0.5500668717
94	0.5498951587
95	0.5497513958
96	0.5496160001
97	0.5494781909
98	0.5493063952
99	0.5491591421
100	0.5489932875
101	0.5488571064
102	0.5487191347
103	0.5485762706
104	0.5484895733
105	0.5483487447
106	0.548167659
107	0.5480751947
108	0.5479136608
109	0.5476808779
110	0.5475316518
111	0.547368851
112	0.547163491
113	0.5470102878
114	0.5467676748
115	0.5466166155
116	0.5464844114
117	0.5463115871
118	0.546182072
119	0.5460617086
120	0.545896132
121	0.5457786585
122	0.5456162481
123	0.5454848174
124	0.5453131693
125	0.5451775065
126	0.5450535736
127	0.544887725
128	0.5447484195
129	0.5446093881
130	0.5444702743
131	0.5443515556
132	0.544232357
133	0.5441371852
134	0.5440367708
135	0.5438872838
136	0.5437259025
137	0.5436131398
138	0.5434866864
139	0.5434096151
140	0.5433357951
141	0.5432276561
142	0.543106421
143	0.542964563
144	0.5428102028
145	0.5426760461
146	0.5425414613
147	0.5423436609
148	0.5422328355
149	0.5421215083
150	0.5419654023
151	0.5418462326
152	0.5417294817
153	0.5415838761
154	0.5414463343
155	0.5413136704
156	0.5411675076
157	0.5410584286
158	0.5409379459
159	0.5407982673
160	0.5406670292
161	0.540501485
162	0.5404029435
163	0.5402646381
164	0.5401327048
165	0.5400149214
166	0.539777591
167	0.5396565659
168	0.5395704534
169	0.5395017372
170	0.5393912727
171	0.539254135
172	0.5391084257
173	0.5389791224
174	0.5389039051
175	0.5388326197
176	0.538703824
177	0.5385743645
178	0.5384323132
179	0.5382917371
180	0.5381640723
181	0.5380288884
182	0.5378821811
183	0.5377410259
184	0.5376276292
185	0.5374773814
186	0.5373902561
187	0.5372522049
188	0.537137795
189	0.5370136116
190	0.536920353
191	0.5368167713
192	0.5366417761
193	0.5365118154
194	0.5363769887
195	0.5362743532
196	0.5360557967
197	0.5359463041
198	0.5358035875
199	0.535682427
200	0.5355738501
201	0.5354293674
202	0.5353218754
203	0.5352116399
204	0.5350981714
205	0.5349416926
206	0.5348093539
207	0.5346649349
208	0.5344901915
209	0.5343270936
210	0.5341024893
211	0.5339474265
212	0.5338025336
213	0.5336762403
214	0.5335405681
215	0.5334441437
216	0.5332904296
217	0.5331205705
218	0.5329737538
219	0.5328524375
220	0.5327406759
221	0.5326009352
222	0.5324300605
223	0.5323651063
224	0.5321071293
225	0.5318726437
226	0.531750971
227	0.5314913664
228	0.5313371374
229	0.5312103269
230	0.5311115574
231	0.5309582375
232	0.5307861141
233	0.5306858179
234	0.5305077224
235	0.5303662111
236	0.5302493136
237	0.5300995834
238	0.5299208563
239	0.5297814357
240	0.5296663219
241	0.5295415503
242	0.5293751263
243	0.5292436587
244	0.5290034015
245	0.5288558787
246	0.5287157311
247	0.5285675679
248	0.5284164139
249	0.5283218489
250	0.5282197534
251	0.5280932793
252	0.5279368188
253	0.5278083405
254	0.5276318879
255	0.5274648675
256	0.5273174727
257	0.5271513768
258	0.5269892467
259	0.5268447022
260	0.5267052842
261	0.5265159585
262	0.5263864622
263	0.5262580617
264	0.5261231484
265	0.5260375579
266	0.5258811134
267	0.5257214513
268	0.5255754644
269	0.5254321686
270	0.52527686
271	0.5251363255
272	0.5250094343
273	0.5248740548
274	0.5247727501
275	0.5246305643
276	0.5244821717
277	0.5243034538
278	0.5241592022
279	0.5239958186
280	0.5238596999
281	0.52370409
282	0.5234984699
283	0.523330081
284	0.5231686691
285	0.5229866452
286	0.5228149735
287	0.5226445368
288	0.5225006633
289	0.5222801607
290	0.5221313697
291	0.5219374943
292	0.5217929535
293	0.5216217377
294	0.5214952671
295	0.5213641899
296	0.5212181442
297	0.5210386745
298	0.5208649091
299	0.5206943366
300	0.5205116719
301	0.5203544862
302	0.5201992373
303	0.5200435711
304	0.5198478926
305	0.5196515636
306	0.5194995676
307	0.5193386571
308	0.5191394046
309	0.5189987704
310	0.5188270702
311	0.518644266
312	0.5184793211
313	0.5182973139
314	0.5181639541
315	0.5180155608
316	0.5178401168
317	0.5177077913
318	0.5175426913
319	0.5173916827
320	0.5172056691
321	0.5170660591
322	0.5169559864
323	0.5168395198
324	0.5167416543
325	0.5165958951
326	0.5164793533
327	0.5163542666
328	0.5162100959
329	0.516107159
330	0.5160327908
331	0.5158880086
332	0.5157402897
333	0.5155958106
334	0.5154577006
335	0.5153228399
336	0.5151709707
337	0.5150199286
338	0.51485876
339	0.514659069
340	0.5145551817
341	0.5144151733
342	0.5142742374
343	0.5141217742
